N_read,N_write,r_Z_read,r_Z_write,C_DB_read,r_DB_read,C_DB_write,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.0034482758620689655,1,0.14285714285714285,1,0.027777777777777776,846.8538666532385,821.6882022626816,872.0195310437954,1178.4569073500008,1134.9542532521348,1221.959561447867,411.8751797858814,404.69931140862434,419.0510481631385,0.1252626470102266,0.12196085227000604,0.12874819255267836,0.07661042248230485,0.07374438638887193,0.07970824057559023,0.024308351261443387,0.023980220574065004,0.024645586408386676,0.5339778301556611,0.5193384027343804,0.5486172575769419,0.8659783687938849,0.8423627588449335,0.8895939787428363,45.97360587120056
90,10,0.1,0.002325581395348837,1,0.14285714285714285,1,0.027777777777777776,606.9362454875676,590.1855564012569,623.6869345738783,701.4010975537826,685.5189502388023,717.283244868763,516.1492082188919,507.7199024760606,524.5785139617232,0.16855999850115727,0.16456537636368052,0.17275337421736778,0.1289241094491267,0.12604370427738523,0.13193924199523438,0.019371718842017153,0.01911444826732399,0.01963600935889698,0.9139624895739387,0.8947274691617324,0.9331975099861449,0.699511718822033,0.6900872780781271,0.7089361595659389,16.209079027175903
90,10,0.1,0.0020408163265306124,1,0.14285714285714285,1,0.027777777777777776,602.2880783858105,587.1953648110076,617.3807919606135,672.9965176810281,655.4729175445699,690.5201178174863,565.4380618670015,555.7811002131959,575.095023520807,0.16831164483862274,0.16442110346107772,0.1723907647897918,0.13321239144483935,0.1297680536737917,0.13684455558873052,0.017709234173897248,0.017407574582436493,0.018021533185601617,0.9329834627763609,0.9104035958776834,0.9555633296750384,0.6383848894335962,0.6255438891796791,0.6512258896875133,13.326351881027222
90,10,0.1,0.0038461538461538464,1,0.14285714285714285,1,0.027777777777777776,996.5321088643203,952.2401452646784,1040.8240724639622,1498.0838048820124,1426.0492407114361,1570.1183690525886,391.061043678419,379.63042871276656,402.4916586440715,0.1096678737503388,0.10604084500064857,0.11355180802376899,0.06007406214760473,0.05725435320017511,0.06318589235925348,0.02552487294302274,0.02515521802655516,0.025905554016665912,0.41788964400891876,0.4003960417612503,0.4353832462565872,0.9163865081054872,0.9052020570991643,0.92757095911181,50.69148898124695
90,10,0.1,0.002777777777777778,1,0.14285714285714285,1,0.027777777777777776,659.8232317411689,644.4499199991957,675.1965434831421,803.5550730503963,780.833639569558,826.2765065312346,460.25553655238514,452.2642429041811,468.24683020058916,0.15657493914718607,0.15252737672382968,0.1608431748202788,0.11195087010310846,0.10907964765247359,0.11497733293783456,0.021779895084666108,0.02138033407930994,0.022194674690065128,0.7896071293314288,0.7667272001039955,0.8124870585588622,0.7882966861560997,0.7688080093603668,0.8077853629518327,18.552847862243652
90,10,0.1,0.002173913043478261,1,0.14285714285714285,1,0.027777777777777776,603.7835740761021,587.3405419292095,620.2266062229947,687.7118044402987,668.6680125263315,706.7555963542659,540.0555282259126,531.0371155234485,549.0739409283766,0.16920217556171288,0.16455817699107753,0.17411590284479997,0.13113175925791679,0.12814844249516885,0.13425729101633244,0.018544704967596668,0.01821113763676231,0.018890719981454605,0.9404003330681271,0.922546004291921,0.9582546618443332,0.6644825114201319,0.6499924495770457,0.6789725732632181,18.629449129104614
90,10,0.1,0.0025,1,0.14285714285714285,1,0.027777777777777776,635.3303584148072,619.9202868526928,650.7404299769215,737.6391766503926,719.1879475704467,756.0904057303386,489.0402756460166,479.84297066060145,498.23758063143174,0.1646739636016107,0.16030899747803712,0.1692832857174523,0.12149743117327162,0.11916162845271006,0.12392663745961481,0.020430740287054276,0.020137969738082354,0.020732149156410744,0.8554553323287742,0.8356696081505126,0.8752410565070359,0.7376801688864448,0.7237614536287896,0.7515988841441,23.20908284187317
90,10,0.1,0.004347826086956522,1,0.14285714285714285,1,0.027777777777777776,1278.800865663463,1176.7910198357195,1380.8107114912063,2279.996288466177,2095.40564154376,2464.5869353885937,379.34810694499026,372.57766168920784,386.1185522007727,0.09136830947996714,0.08695677032249378,0.09625138836089257,0.03902150433059849,0.03634613103128411,0.04212203125120416,0.02636193462076562,0.02586791883006495,0.026875186837260385,0.27759447286998745,0.25758920980575983,0.29759973593421507,0.9471524694459273,0.921256650818109,0.9730482880737457,62.43648099899292
90,10,0.1,0.002,1,0.14285714285714285,1,0.027777777777777776,599.7427964555078,588.3452330940946,611.140359816921,668.2431832542009,654.5512952448839,681.9350712635178,577.6345631688307,561.6083596533458,593.6607666843156,0.16909300298601934,0.16626356741113446,0.17202040715023711,0.13463075763278912,0.13118727777610498,0.1382598833480827,0.01750293474564403,0.017210189649452978,0.017805811359166097,0.9266586935504104,0.9027272297916846,0.9505901573091362,0.6246052227365304,0.6100903317216851,0.6391201137513757,15.259658098220825
90,10,0.1,0.0018867924528301887,1,0.14285714285714285,1,0.027777777777777776,591.7649425116113,574.8096072124541,608.7202778107684,659.2526727294783,639.7310220225074,678.7743234364491,604.3974044962848,592.9727549689262,615.8220540236434,0.1711087403026479,0.16622577514910977,0.1762872667977955,0.13788747677165958,0.1340318868074556,0.1419714581455527,0.01656939219492872,0.016292112429576885,0.016856273567726048,0.969150000211827,0.9492539135504771,0.9890460868731769,0.5890242497860765,0.5721340809284214,0.6059144186437315,13.81165075302124
90,10,0.1,0.0017857142857142857,1,0.14285714285714285,1,0.027777777777777776,610.0648392792498,594.3500705055553,625.7796080529442,641.836756980636,624.0373648635474,659.6361490977246,628.906724406795,616.01743746846,641.79601134513,0.1708647756346581,0.16824063807082232,0.17357207034688013,0.1397642094994297,0.1372571929036844,0.14236451179443782,0.015897697744485895,0.015580813744558154,0.01622773896815486,0.9884563772746672,0.9750920571668625,1.0018206973824717,0.5729325315057527,0.5593316232292744,0.586533439782231,15.522358179092407
