N_read,N_write,r_Z_read,r_Z_write,C_DB,r_DB_read,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.0020833333333333,1,0.3333333333333333,0.0227272727272727,517.0608553286359,501.7162400830945,532.4054705741772,482.54919244391175,470.1648753334272,494.9335095543963,990.6849375644993,974.9673750778808,1006.4025000511174,0.1935946975084617,0.1882211935027112,0.1992840331813145,0.1832791882479676,0.1788244579389431,0.1879615340083192,0.0100706326646213,0.0099396718235301,0.0102050905486838,0.5564824110002634,0.5398701949096198,0.573094627090907,0.4442091329389294,0.4316813920998158,0.4567368737780429,17.680297136306763
90,10,0.1,0.0023255813953488,1,0.3333333333333333,0.0227272727272727,529.6213384238578,519.619782652669,539.6228941950466,506.3560430043746,492.3104006283754,520.4016853803739,956.3995294196644,931.1286974064516,981.6703614328774,0.1892176646836698,0.1847440887602836,0.1939132722774313,0.1781205382439275,0.1750160951601475,0.1813371036503544,0.010457307557824,0.0101785894193597,0.0107517195974522,0.5333050705296846,0.5208261032314646,0.5457840378279045,0.4647013308301814,0.4513347905688549,0.4780678710915079,7.312932968139648
90,10,0.1,0.0025,1,0.3333333333333333,0.0227272727272727,538.8394073761492,526.6513200124167,551.0274947398817,512.9961518394218,501.2313081573046,524.760995521539,937.9444095641936,910.042766121558,965.8460530068292,0.1869229287177485,0.1816813928251129,0.1924758874259705,0.1762544609011687,0.1736634679737214,0.178923938042377,0.0106623475176975,0.0103588919326377,0.0109841186266034,0.527631921011339,0.5148697140996432,0.5403941279230349,0.4709443845891899,0.4631397723847539,0.478748996793626,8.265366077423096
90,10,0.1,0.0032258064516129,1,0.3333333333333333,0.0227272727272727,570.0771658410783,556.0459571779598,584.1083745041968,546.3847660597899,532.1178624504964,560.6516696690833,874.5906024827979,848.4402588145423,900.7409461510534,0.1765609315548573,0.1725200491985253,0.1807956506985353,0.1653643062559974,0.1615567703024555,0.1693556444333327,0.01141658179527,0.0110918458329769,0.0117609058265014,0.494271029428263,0.4854532719631874,0.5030887868933386,0.5063974879208865,0.4977921572243418,0.5150028186174311,9.549699068069458
90,10,0.1,0.0027027027027027,1,0.3333333333333333,0.0227272727272727,547.2854364164697,531.2218415827327,563.3490312502066,519.3469022440414,509.4146974809085,529.2791070071744,911.4849281441508,897.3525323666677,925.617323921634,0.1832561119845138,0.1783917908701441,0.1883931463463827,0.1737887163934792,0.1688641549247882,0.1790091344657845,0.0109268314912086,0.0106102046306084,0.0112629370153198,0.5183174065996565,0.50539018872772,0.531244624471593,0.4807545222235991,0.466336640414576,0.4951724040326221,11.6715190410614
90,10,0.1,0.0045454545454545,1,0.3333333333333333,0.0227272727272727,594.9966047615198,578.0399833666769,611.9532261563628,581.8579029444602,571.3461859759985,592.3696199129218,823.808382596037,810.9361653077032,836.6805998843707,0.1670975812598789,0.1629739282563835,0.1714353291280658,0.1538264048351403,0.1501400949803344,0.1576982869554084,0.0122205041820764,0.0118728522324116,0.0125891296289717,0.4630664820508179,0.4520870705271947,0.4740458935744412,0.5412118543070764,0.5326734710961198,0.549750237518033,13.229369163513184
90,10,0.1,0.0029411764705882,1,0.3333333333333333,0.0227272727272727,553.0868865437981,543.6668248849867,562.5069482026095,535.5419781719877,519.6336130092277,551.4503433347477,893.0421817679498,869.788305695767,916.2960578401328,0.1808140880800745,0.1770984891599142,0.1846889377234913,0.1674454495087381,0.1627032788056267,0.1724723508426686,0.0111546931273319,0.0108433099303768,0.0114844888138153,0.5083535612911276,0.4990101695994986,0.5176969529827566,0.4935065723850265,0.4843183109650743,0.5026948338049786,13.264377117156982
90,10,0.1,0.002,1,0.3333333333333333,0.0227272727272727,513.7529835309196,502.2072103267651,525.298756735074,481.4242400439217,470.5631765162789,492.2853035715645,1005.6730734695516,979.5950432133832,1031.7511037257195,0.1945712190472366,0.1900998913781509,0.1992579529094733,0.1860919486604468,0.1825734958821774,0.1897486774653314,0.0099460317163064,0.0096671540395548,0.0102414774521106,0.5506274756536133,0.5372904827103837,0.5639644685968428,0.4369793608665798,0.4268803738674838,0.4470783478656758,8.35882306098938
90,10,0.1,0.0020408163265306,1,0.3333333333333333,0.0227272727272727,507.896979928172,497.7387854335773,518.0551744227666,482.42597614579233,468.42701810397045,496.4249341876142,997.9555104285464,968.305370934554,1027.6056499225383,0.1961693539082821,0.1913470847602304,0.201240965532936,0.1873678208059984,0.1838529012216543,0.1910197571138551,0.0100186605816725,0.0097458578684665,0.0103071755057994,0.5656179417288221,0.5521295702169101,0.579106313240734,0.4420186110703915,0.4320131503794449,0.4520240717613381,9.077368021011353
90,10,0.1,0.004,1,0.3333333333333333,0.0227272727272727,589.2756775718004,576.4380761249216,602.1132790186792,571.2770414966885,558.8710834935534,583.6829994998236,835.3949430961177,823.7508260806837,847.0390601115516,0.1694665401752416,0.1665499053387211,0.1724871484731919,0.1578874652318954,0.1543281691366295,0.1616148144330608,0.0119660852677167,0.0117869634035408,0.0121507352297938,0.4772607167336745,0.4657801907986803,0.4887412426686687,0.5233588142619654,0.509701507478344,0.5370161210455868,14.232022047042848
